Order_Number,Word,Pinyin,Total_Frequency,Ngram_Count,Avg_Frequency,Word_Length
144,听,ting1,654,45,14.53,1
145,突然,tu1 ran2,649,67,9.69,2
146,现在,xian4 zai4,645,52,12.40,2
147,长,zhang3,638,46,13.87,1
148,马身,ma3 shen1,638,24,26.58,2
149,时候,shi2 hou4,636,43,14.79,2
150,麦格,mai4 ge2,635,24,26.46,2
151,扫帚,sao4 zhou3,631,38,16.61,2
152,中,zhong1,630,61,10.33,1
153,地方,di4 fang1,628,43,14.60,2
154,认为,ren4 wei2,628,47,13.36,2
155,才,cai2,626,48,13.04,1
156,家,jia1,623,45,13.84,1
157,门,men2,617,49,12.59,1
158,呢,ne,617,56,11.02,1
159,似乎,si4 hu1,615,53,11.60,2
160,名字,ming2 zi4,613,43,14.26,2
161,希望,xi1 wang4,612,49,12.49,2
162,叫,jiao4,612,52,11.77,1
163,拿,na2,605,49,12.35,1
164,使,shi3,601,37,16.24,1
165,看到,kan4 dao4,599,42,14.26,2
166,发现,fa1 xian4,585,47,12.45,2
167,下来,xia4 lai2,577,33,17.48,2
168,公共,gong1 gong4,575,28,20.54,2
169,好像,hao3 xiang4,570,44,12.95,2
170,邓布利多,deng4 bu4 li4 duo1,567,38,14.92,4
171,回,hui2,567,25,22.68,1
172,因为,yin1 wei4,564,37,15.24,2
173,抓住,zhua1 zhu4,552,47,11.74,2
174,一直,yi4 zhi2,543,37,14.68,2
175,找,zhao3,542,38,14.26,1
176,事情,shi4 qing2,538,36,14.94,2
177,一起,yi4 qi3,535,48,11.15,2
178,另,ling4,527,23,22.91,1
179,双,shuang1,526,36,14.61,1
180,第一,di4 yi1,522,38,13.74,2
181,后,hou4,517,43,12.02,1
182,吃,chi1,515,49,10.51,1
183,弗雷德,fu2 lei2 de2,514,20,25.70,3
184,道,dao4,513,41,12.51,1
185,一下,yi1 xia4,509,37,13.76,2
186,下,xia4,509,47,10.83,1
187,桌子,zhuo1 zi,507,38,13.34,2
188,正,zheng4,505,46,10.98,1
189,说话,shuo1 hua4,504,40,12.60,2
190,带,dai4,502,33,15.21,1
191,休息室,xiu1 xi1 shi4,500,24,20.83,3
192,乔治,qiao2 zhi4,495,20,24.75,2
193,身,shen1,494,33,14.97,1
194,肯定,ken3 ding4,494,40,12.35,2
195,飞天,fei1 tian1,493,24,20.54,2
196,并,bing4,490,36,13.61,1
197,等,deng3,484,37,13.08,1
198,穿,chuan1,483,36,13.42,1
199,女士,nv3 shi4,479,26,18.42,2
200,防御,fang2 yu4,475,26,18.27,2
201,根,gen1,473,30,15.77,1
202,步,bu4,469,37,12.68,1
203,意思,yi4 si,467,17,27.47,2
204,感到,gan3 dao4,467,40,11.68,2
205,以为,yi3 wei2,467,35,13.34,2
206,时间,shi2 jian1,466,37,12.59,2
207,目光,mu4 guang1,464,35,13.26,2
208,喘,chuan3,463,24,19.29,1
209,干,gan4,456,40,11.40,1
210,年,nian2,456,40,11.40,1
211,为什么,wei4 shen2 me,453,32,14.16,3
212,家养,jia1 yang3,449,23,19.52,2
213,时,shi2,448,54,8.30,1
214,脑袋,nao3 dai4,445,35,12.71,2
215,学生,xue2 sheng1,442,36,12.28,2
216,魁地奇,kui2 di4 qi2,441,36,12.25,3
217,眼,yan3,440,21,20.95,1
218,住,zhu4,436,26,16.77,1
219,瞪,deng4,435,27,16.11,1
220,指,zhi3,434,29,14.97,1
221,姨妈,yi2 ma1,432,26,16.62,2
222,片,pian4,430,28,15.36,1
223,房间,fang2 jian1,428,30,14.27,2
224,明白,ming2 bai2,427,36,11.86,2
225,发生,fa1 sheng1,424,35,12.11,2
226,斯内普,si1 nei4 pu3,423,30,14.10,3
227,向,xiang4,423,35,12.09,1
228,术,shu4,423,25,16.92,1
229,那里,na4 li3,422,24,17.58,2
230,打,da3,416,32,13.00,1
231,床,chuang2,410,29,14.14,1
232,应该,ying1 gai1,410,34,12.06,2
233,精灵,jing1 ling2,408,20,20.40,2
234,非常,fei1 chang2,402,43,9.35,2
235,阵,zhen4,400,28,14.29,1
236,位,wei4,400,24,16.67,1
237,其他,qi2 ta1,400,32,12.50,2
238,翼,yi4,399,11,36.27,1
239,最后,zui4 hou4,397,25,15.88,2
240,喜欢,xi3 huan1,394,34,11.59,2
241,年级,nian2 ji2,393,25,15.72,2
242,同学,tong2 xue2,387,30,12.90,2
243,块,kuai4,382,29,13.17,1
244,信,xin4,382,26,14.69,1
245,马尔福,ma3 er3 fu2,382,31,12.32,3
246,哪儿,na3 er2,381,31,12.29,2
247,需要,xu1 yao4,380,35,10.86,2
248,小声,xiao3 sheng1,379,19,19.95,2
249,前,qian2,379,34,11.15,1
250,鹰,ying1,377,20,18.85,1
251,脸上,lian3 shang4,376,31,12.13,2
252,别,bie2,363,33,11.00,1
253,离开,li2 kai1,362,36,10.06,2
254,分钟,fen1 zhong1,359,24,14.96,2
255,书,shu1,356,29,12.28,1
256,一边,yi1 bian1,355,30,11.83,2
257,一切,yi1 qie4,349,25,13.96,2
258,佩妮,pei4 ni1,348,17,20.47,2
259,堆,dui1,347,24,14.46,1
260,走廊,zou3 lang2,346,21,16.48,2
261,死,si3,345,30,11.50,1
262,椅子,yi3 zi,345,18,19.17,2
263,朋友,peng2 you3,342,26,13.15,2
264,从来,cong2 lai2,341,25,13.64,2
265,吸,xi1,341,29,11.76,1
266,本,ben3,339,20,16.95,1
267,以前,yi3 qian2,337,30,11.23,2
268,令,ling4,334,27,12.37,1
269,刚才,gang1 cai2,334,33,10.12,2
270,发出,fa1 chu1,330,24,13.75,2
271,然后,ran2 hou4,328,24,13.67,2
272,高兴,gao1 xing4,328,24,13.67,2
273,猫头鹰,mao1 tou2 ying1,326,25,13.04,3
274,大家,da4 jia1,325,22,14.77,2
275,办公室,ban4 gong1 shi4,325,27,12.04,3
276,耐烦,nai4 fan2,325,12,27.08,2
277,传来,chuan2 lai2,325,26,12.50,2
278,变成,bian4 cheng2,324,21,15.43,2
279,那个,na4 ge,323,28,11.54,2
280,教室,jiao4 shi4,323,23,14.04,2
281,啊,a,322,9,35.78,1
282,一些,yi1 xie1,320,21,15.24,2
283,当,dang1,320,19,16.84,1
284,而,er2,319,25,12.76,1
285,封,feng1,318,16,19.88,1
286,伏地魔,fu2 di4 mo2,318,31,10.26,3
287,注意,zhu4 yi4,317,20,15.85,2
288,克劳奇,ke4 lao2 qi2,315,15,21.00,3
289,俩,lia3,315,18,17.50,1
290,麻瓜,ma2 gua1,315,25,12.60,2
291,卢平,lu2 ping2,311,19,16.37,2
292,必须,bi4 xu1,311,21,14.81,2
293,穆迪,mu4 di2,310,25,12.40,2
294,比赛,bi3 sai4,309,25,12.36,2
295,遍,bian4,308,25,12.32,1
296,放,fang4,306,24,12.75,1
297,根本,gen1 ben3,306,21,14.57,2
298,楼梯,lou2 ti1,306,27,11.33,2
299,所有,suo3 you3,302,20,15.10,2
300,嘴,zui3,302,20,15.10,1
301,口袋,kou3 dai4,301,17,17.71,2
302,眨,zha3,301,38,7.92,1
303,可是,ke3 shi4,298,29,10.28,2
304,说道,shuo1 dao4,297,22,13.50,2
305,四,si4,295,24,12.29,1
306,它们,ta1 men,294,23,12.78,2
307,动物,dong4 wu4,293,22,13.32,2
308,长长,chang2 chang2,292,25,11.68,2
309,后面,hou4 mian4,292,28,10.43,2
310,消失,xiao1 shi1,291,21,13.86,2
311,停,ting2,291,12,24.25,1
312,星期,xing1 qi1,289,22,13.14,2
313,显得,xian3 de,287,25,11.48,2
314,为,wei4,285,27,10.56,1
315,回来,hui2 lai2,283,20,14.15,2
316,那么,na4 me,282,20,14.10,2
317,开始,kai1 shi3,282,28,10.07,2
318,边,bian1,280,16,17.50,1
319,一样,yi1 yang4,278,29,9.59,2
320,抬头,tai2 tou2,277,20,13.85,2
321,出现,chu1 xian4,276,17,16.24,2
322,感觉,gan3 jue2,276,23,12.00,2
323,那些,na4 xie1,276,22,12.55,2
324,闪闪,shan3 shan3,276,23,12.00,2
325,礼堂,li3 tang2,275,22,12.50,2
326,愿意,yuan4 yi4,274,25,10.96,2
327,来到,lai2 dao4,274,30,9.13,2
328,强,qiang2,272,15,18.13,1
329,地板,di4 ban3,271,16,16.94,2
330,看看,kan4 kan4,271,28,9.68,2
331,及,ji2,270,17,15.88,1
332,尾巴,wei3 ba,269,15,17.93,2
333,全,quan2,269,21,12.81,1
334,躺,tang3,268,19,14.11,1
335,注视,zhu4 shi4,267,17,15.71,2
336,待,dai4,267,22,12.14,1
337,布莱克,bu4 lai2 ke4,267,19,14.05,3
338,吃惊,chi1 jing1,266,25,10.64,2
339,可怕,ke3 pa4,265,22,12.05,2
340,身边,shen1 bian1,265,22,12.05,2
341,紧张,jin3 zhang1,263,23,11.43,2
342,许多,xu3 duo1,263,16,16.44,2
343,头发,tou2 fa4,262,15,17.47,2
344,跳,tiao4,262,18,14.56,1
345,差点,cha4 dian3,262,17,15.41,2
346,争霸赛,zheng1 ba4 sai4,261,16,16.31,3
347,过来,guo4 lai2,260,22,11.82,2
348,摇,yao2,259,16,16.19,1
349,城堡,cheng2 bao3,259,20,12.95,2
350,任何,ren4 he2,258,26,9.92,2
351,这时,zhe4 shi2,257,9,28.56,2
352,扇,shan4,257,14,18.36,1
353,小时,xiao3 shi2,256,17,15.06,2
354,大声,da4 sheng1,255,23,11.09,2
355,神奇,shen2 qi2,252,16,15.75,2
356,响,xiang3,252,24,10.50,1
357,德思礼,de2 si1 li3,251,13,19.31,3
358,胳膊,ge1 bo2,250,19,13.16,2
359,打开,da3 kai1,249,24,10.38,2
360,巨大,ju4 da4,247,15,16.47,2
361,大概,da4 gai4,246,21,11.71,2
362,一定,yi2 ding4,246,19,12.95,2
363,提,ti2,246,20,12.30,1
364,箱子,xiang1 zi,245,20,12.25,2
365,所,suo3,245,29,8.45,1
366,副,fu4,239,17,14.06,1
367,项目,xiang4 mu4,239,16,14.94,2
368,墙,qiang2,238,15,15.87,1
369,学院,xue2 yuan4,238,23,10.35,2
370,这儿,zhe4 er2,237,17,13.94,2
371,场,chang3,234,20,11.70,1
372,尼克,ni2 ke4,234,14,16.71,2
373,高,gao1,233,23,10.13,1
374,第二,di4 er4,232,11,21.09,2
375,旁边,pang2 bian1,232,19,12.21,2
376,举起,ju3 qi3,232,18,12.89,2
377,爸爸,ba4 ba4,232,16,14.50,2
378,高尔,gao1 er3,231,8,28.88,2
379,关上,guan1 shang4,230,21,10.95,2
380,赶紧,gan3 jin3,229,19,12.05,2
381,班,ban1,228,15,15.20,1
382,伤疤,shang1 ba1,226,19,11.89,2
383,问题,wen4 ti2,226,17,13.29,2
384,写,xie3,226,18,12.56,1
385,身后,shen1 hou4,225,21,10.71,2
386,部,bu4,224,11,20.36,1
387,过去,guo4 qu4,224,17,13.18,2
388,秒,miao3,224,12,18.67,1
389,亲爱,qin1 ai4,219,7,31.29,2
390,男孩,nan2 hai2,219,14,15.64,2
391,买,mai3,219,20,10.95,1
392,内,nei4,217,8,27.12,1
393,吓,xia4,217,13,16.69,1
394,脚,jiao3,217,19,11.42,1
395,帕奇,pa4 qi2,216,14,15.43,2
396,晚上,wan3 shang4,216,15,14.40,2
397,挂,gua4,216,14,15.43,1
398,特,te4,216,12,18.00,1
399,仍然,reng2 ran2,216,23,9.39,2
400,火,huo3,215,12,17.92,1
401,隐形,yin3 xing2,215,19,11.32,2
402,开,kai1,215,18,11.94,1
403,赫奇,he4 qi2,214,18,11.89,2
404,克拉布,ke4 la1 bu4,212,7,30.29,3
405,疯,feng1,212,14,15.14,1
406,门厅,men2 ting1,212,17,12.47,2
407,上面,shang4 mian4,212,18,11.78,2
408,慢慢,man4 man4,211,10,21.10,2
409,黑暗,hei1 an4,211,9,23.44,2
410,想到,xiang3 dao4,211,19,11.11,2
411,连,lian2,209,18,11.61,1
412,当然,dang1 ran2,207,13,15.92,2
413,虫,chong2,206,10,20.60,1
414,颤抖,chan4 dou3,206,21,9.81,2
415,轻声,qing1 sheng1,205,17,12.06,2
416,世界,shi4 jie4,205,16,12.81,2
417,低声,di1 sheng1,204,16,12.75,2
418,意识,yi4 shi2,202,14,14.43,2
419,些,xie1,202,19,10.63,1
420,厉害,li4 hai4,202,17,11.88,2
421,表情,biao3 qing2,201,9,22.33,2
422,耳朵,er3 duo3,201,17,11.82,2
423,掏出,tao1 chu1,200,13,15.38,2
424,起,qi3,200,18,11.11,1
425,斯莱特林,si1 lai2 te4 lin2,199,15,13.27,4
426,兽,shou4,199,5,39.80,1
427,回到,hui2 dao4,199,21,9.48,2
428,紧紧,jin3 jin3,199,18,11.06,2
429,腿,tui3,198,17,11.65,1
430,拍,pai1,198,17,11.65,1
431,办法,ban4 fa3,196,20,9.80,2
432,一点儿,yi4 dian3 er2,195,14,13.93,3
433,戴,dai4,194,17,11.41,1
434,清,qing1,194,20,9.70,1
435,活,huo2,194,15,12.93,1
436,行,xing2,193,9,21.44,1
437,里面,li3 mian4,193,17,11.35,2
438,将,jiang1,193,23,8.39,1
439,奇怪,qi2 guai4,192,18,10.67,2
440,金色,jin1 se4,192,17,11.29,2
441,参加,can1 jia1,192,23,8.35,2
442,样子,yang4 zi,191,8,23.88,2
443,父亲,fu4 qin1,191,11,17.36,2
444,妈妈,ma1 ma1,191,18,10.61,2
445,章,zhang1,189,23,8.22,1
446,深深,shen1 shen1,188,21,8.95,2
447,这个,zhe4 ge,188,21,8.95,2
448,平,ping2,187,5,37.40,1
449,这些,zhe4 xie1,187,20,9.35,2
450,简直,jian3 zhi2,187,20,9.35,2
451,情况,qing2 kuang4,185,9,20.56,2
452,月,yue4,185,14,13.21,1
453,塔楼,ta3 lou2,185,14,13.21,2
454,新,xin1,185,14,13.21,1
455,刚,gang1,185,16,11.56,1
456,周围,zhou1 wei2,184,15,12.27,2
457,大大,da4 da4,184,16,11.50,2
458,地下,di4 xia4,184,14,13.14,2
459,矮星,ai3 xing1,181,9,20.11,2
460,气愤,qi4 fen4,181,11,16.45,2
461,听到,ting1 dao4,180,18,10.00,2
462,面前,mian4 qian2,180,15,12.00,2
463,留,liu2,179,15,11.93,1
464,平静,ping2 jing4,177,13,13.62,2
465,意味,yi4 wei4,176,11,16.00,2
466,棒,bang4,176,9,19.56,1
467,份,fen4,175,14,12.50,1
468,转,zhuan3,175,15,11.67,1
469,父母,fu4 mu3,174,12,14.50,2
470,字,zi4,174,16,10.88,1
471,钟,zhong1,174,6,29.00,1
472,露出,lu4 chu1,174,15,11.60,2
473,打量,da3 liang4,173,9,19.22,2
474,早,zao3,173,10,17.30,1
475,波特,bo1 te4,173,20,8.65,2
476,啦,la,172,7,24.57,1
477,该,gai1,172,21,8.19,1
478,游走,you2 zou3,171,9,19.00,2
479,举,ju3,171,18,9.50,1
480,清楚,qing1 chu3,171,17,10.06,2
481,达力,da2 li4,170,16,10.62,2
482,作,zuo4,169,15,11.27,1
483,球,qiu2,168,11,15.27,1
484,间,jian1,168,17,9.88,1
485,顶,ding3,167,16,10.44,1
486,闪,shan3,166,12,13.83,1
487,弩箭,nu3 jian4,164,8,20.50,2
488,开除,kai1 chu2,164,10,16.40,2
489,斯,si1,163,5,32.60,1
490,克劳,ke4 lao2,162,12,13.50,2
491,压低,ya1 di1,162,11,14.73,2
492,十,shi2,162,12,13.50,1
493,场地,chang3 di4,162,12,13.50,2
494,羊皮纸,yang2 pi2 zhi3,162,12,13.50,3
495,长袍,chang2 pao2,161,9,17.89,2
496,喝,he1,161,15,10.73,1
497,动,dong4,161,17,9.47,1
498,另外,ling4 wai4,160,18,8.89,2
499,地上,di4 shang4,159,11,14.45,2
500,厨房,chu2 fang2,159,14,11.36,2
501,远,yuan3,159,16,9.94,1
502,还是,hai2 shi4,159,15,10.60,2
503,地面,di4 mian4,158,13,12.15,2
504,进来,jin4 lai2,157,11,14.27,2
505,也许,ye3 xu3,157,17,9.24,2
506,危险,wei1 xian3,157,19,8.26,2
507,低头,di1 tou2,157,13,12.08,2
508,肩膀,jian1 bang3,156,7,22.29,2
509,到底,dao4 di3,156,17,9.18,2
510,马克西姆,ma3 ke4 xi1 mu3,155,8,19.38,4
511,漆黑,qi1 hei1,155,11,14.09,2
512,施,shi1,155,10,15.50,1
513,极,ji2,154,14,11.00,1
514,队,dui4,154,7,22.00,1
515,五,wu3,154,13,11.85,1
516,保护,bao3 hu4,154,12,12.83,2
517,跑,pao3,154,18,8.56,1
518,桃金娘,tao2 jin1 niang2,154,10,15.40,3
519,沉重,chen2 zhong4,153,14,10.93,2
520,天花板,tian1 hua1 ban3,153,12,12.75,3
521,路,lu4,153,11,13.91,1
522,神秘,shen2 mi4,152,10,15.20,2
523,卢,lu2,152,4,38.00,1
524,兄弟,xiong1 di4,152,15,10.13,2
525,空,kong1,152,19,8.00,1
526,旁,pang2,151,15,10.07,1
527,狗,gou3,151,14,10.79,1
528,眉头,mei2 tou2,151,9,16.78,2
529,仔细,zi3 xi4,151,19,7.95,2
530,越,yue4,151,22,6.86,1
531,到处,dao4 chu4,149,11,13.55,2
532,不过,bu4 guo4,148,12,12.33,2
533,嘴巴,zui3 ba1,148,15,9.87,2
534,喊,han3,148,12,12.33,1
535,忍,ren3,147,10,14.70,1
536,外,wai4,147,9,16.33,1
537,那儿,na4 er2,146,12,12.17,2
538,鼻子,bi2 zi,146,13,11.23,2
539,纳威,na4 wei1,146,12,12.17,2
540,看上去,kan4 shang4 qu4,146,14,10.43,3
541,转过,zhuan3 guo4,146,12,12.17,2
542,完全,wan2 quan2,145,17,8.53,2
543,抱,bao4,144,10,14.40,1
544,飞,fei1,144,15,9.60,1
545,杯,bei1,144,14,10.29,1
546,走到,zou3 dao4,144,18,8.00,2
547,刺耳,ci4 er3,143,14,10.21,2
548,外面,wai4 mian4,143,10,14.30,2
549,扫,sao3,143,10,14.30,1
550,走进,zou3 jin4,143,13,11.00,2
551,塞德里克,sai1 de2 li3 ke4,143,13,11.00,4
552,不见,bu2 jian4,142,7,20.29,2
553,咒语,zhou4 yu3,142,10,14.20,2
554,敲,qiao1,142,10,14.20,1
555,座位,zuo4 wei4,142,10,14.20,2
556,够,gou4,142,12,11.83,1
557,老师,lao3 shi1,142,16,8.88,2
558,与,yu3,142,20,7.10,1
559,桌,zhuo1,141,9,15.67,1
560,抬起,tai2 qi3,141,10,14.10,2
561,脑海,nao3 hai3,141,11,12.82,2
562,想起,xiang3 qi3,141,11,12.82,2
563,倒,dao4,141,11,12.82,1
564,喊道,han3 dao4,141,13,10.85,2
565,珀西,po4 xi1,140,14,10.00,2
566,正常,zheng4 chang2,140,13,10.77,2
567,特里劳尼,te4 li3 lao2 ni2,139,3,46.33,4
568,知,zhi1,139,9,15.44,1
569,手指,shou3 zhi3,139,8,17.38,2
570,前面,qian2 mian4,139,13,10.69,2
571,准备,zhun3 bei4,139,15,9.27,2
572,股,gu3,138,8,17.25,1
573,拉文,la1 wen2,138,10,13.80,2
574,段,duan4,138,9,15.33,1
575,出去,chu1 qu4,137,9,15.22,2
576,兴奋,xing1 fen4,137,11,12.45,2
577,找到,zhao3 dao4,137,13,10.54,2
578,地图,di4 tu2,137,12,11.42,2
579,总,zong3,137,15,9.13,1
580,头顶,tou2 ding3,136,9,15.11,2
581,摄魂怪,she4 hun2 guai4,136,13,10.46,3
582,英尺,ying1 chi3,136,13,10.46,2
583,笑容,xiao4 rong2,135,10,13.50,2
584,家庭,jia1 ting2,135,13,10.38,2
585,成,cheng2,134,7,19.14,1
586,摇头,yao2 tou2,134,5,26.80,2
587,身上,shen1 shang4,134,11,12.18,2
588,进去,jin4 qu4,133,11,12.09,2
589,发亮,fa1 liang4,133,7,19.00,2
590,激动,ji1 dong4,133,13,10.23,2
591,走去,zou3 qu4,133,18,7.39,2
592,为了,wei4 le,132,12,11.00,2
593,下面,xia4 mian4,131,10,13.10,2
594,只是,zhi3 shi4,131,11,11.91,2
595,落,luo4,129,9,14.33,1
596,人群,ren2 qun2,129,11,11.73,2
597,愉快,yu2 kuai4,128,11,11.64,2
598,微笑,wei1 xiao4,128,11,11.64,2
599,下去,xia4 qu4,127,11,11.55,2
600,继续,ji4 xu4,127,13,9.77,2
601,勇士,yong3 shi4,127,10,12.70,2
602,却,que4,127,14,9.07,1
603,身体,shen1 ti3,126,10,12.60,2
604,直,zhi2,126,9,14.00,1
605,花,hua1,126,14,9.00,1
606,角落,jiao3 luo4,126,11,11.45,2
607,尖,jian1,125,10,12.50,1
608,脑子,nao3 zi,123,9,13.67,2
609,严厉,yan2 li4,123,11,11.18,2
610,群,qun2,123,7,17.57,1
611,那样,na4 yang4,123,11,11.18,2
612,抽出,chou1 chu1,123,14,8.79,2
613,急切,ji2 qie4,122,8,15.25,2
614,整,zheng3,122,9,13.56,1
615,几乎,ji1 hu1,122,13,9.38,2
616,接,jie1,122,15,8.13,1
617,般,ban1,121,5,24.20,1
618,窗户,chuang1 hu4,121,10,12.10,2
619,母亲,mu3 qin1,121,8,15.12,2
620,拼命,pin1 ming4,121,11,11.00,2
621,飞快,fei1 kuai4,120,7,17.14,2
622,帮,bang1,120,14,8.57,1
623,真的,zhen1 de,120,11,10.91,2
624,衣,yi1,119,8,14.88,1
625,火龙,huo3 long2,119,9,13.22,2
626,孪生,luan2 sheng1,118,11,10.73,2
627,汽车,qi4 che1,118,9,13.11,2
628,额头,e2 tou2,118,10,11.80,2
629,庞弗雷,pang2 fu2 lei2,117,2,58.50,3
630,早饭,zao3 fan4,117,11,10.64,2
631,之间,zhi1 jian1,117,16,7.31,2
632,冒,mao4,117,9,13.00,1
633,别人,bie2 ren2,117,14,8.36,2
634,金妮,jin1 ni1,116,10,11.60,2
635,哪,na3,116,9,12.89,1
636,转身,zhuan3 shen1,116,13,8.92,2
637,小屋,xiao3 wu1,115,8,14.38,2
638,鬼,gui3,115,11,10.45,1
639,岁,sui4,115,11,10.45,1
640,听说,ting1 shuo1,115,9,12.78,2
