Item,Frequency
"거야 그래서 네가",20
"볼수 있을거같진 않군요",20
"거리마다 감시원이 있지 산티노",20
"사람에 관해",20
"이상한 것도",20
"일 있으면 바로",20
"짓 절대",20
"추가 지시를",20
"같이 놀던",20
"번 할까",20
"일주일에 한 번은",20
"짓 좀 하지",20
"참아 줘",20
"순화된거야 여보세요 너가 내",20
"있다면 어떨까",20
"안 해도 알겠지만",20
"보고 싶어해요",20
"한 번 보면",20
"만나 줄",20
"be coming",20
"제일 좋았어요",20
"호의를 베풀고",20
"안 돼 응",20
"It would be",20
"안 올 줄 알았는데",20
"같아요 게다가",20
"짓 하는 걸",20
"말은 그만하고",20
"죽일겁니다 당연히",20
"죽일겁니다 전부 죽일겁니다 당연히",20
"일째 오후",20
"말하진 않았어",20
"널 위해 여기 있어",20
"줄 아셨죠",20
"서로의 눈을",20
"일찍 가야",20
"와 그거",20
"않는가 그정도만",20
"같이 돌아가자",20
"사람은 그렇지",20
"작은 파티를",20
"별일 아니잖아",20
"사람은 그걸",20
"널 잃을 순 없어",20
"할 수 있다구",20
"캠벨 씨",20
"안 올까 봐",20
"사람은 내가 아니라",20
"서비스는 제공하지 않습니다",20
"짐 가지러",20
"중요한 부분이야",20
"잡아 봐요",20
"난 그냥 네",20
"죽일수 있을지 계산하겠지 어떻게",20
"서있었지 나는",20
"서있었지 나는 자네가",20
"서쪽으로 가고",20
"믿어도 좋아요",20
"널 죽였어",20
"웰러 요원",20
"가지 지옥으로의",20
"사람은 대체",20
"있던 데로",20
"효과가 있다는",20
"널 죽일 수도 있어",20
"않는다면 죽을걸세",20
"있던 이",20
"일찍 자",20
"조카가 개새끼를 죽였거든 그리고",20
"조카가 개새끼를 죽였거든",20
"웬 여자가",20
"잘 지내시나요",20
"선물 완벽한 선물이지 하지만",20
"선물 완벽한 선물이지",20
"널 쫓고 있어",20
"널 쫓을",20
"한 번도 내",20
"선물을 남겨줬지",20
"있도록 이",20
"선물이지 하지만 나에게",20
"사람은 서로",20
"쓴 거요",20
"알려 주시겠어요",20
"뭔가를 찾을 수",20
"안 움직이는",20
"선생님 이제",20
"선생님 지금",20
"찾으시나 보군요",20
"말고 나가",20
"한 번도 안 해봤어",20
"존 고마워 안녕 개",20
"구할 건데",20
"다시 한다",20
"사람은 없다는",20
"있습니다 방금",20
"거라고 다들",20
"있습니다 브로드",20
"죽지 않았다면 곧",20
"안 나가는",20
"너 한번",20
"않습니다 하지만 원하신다면 개인적으로",20
"선택권이 없었겠군 최고 의원회",20
"그 상자 안에",20
"괜찮아요 안녕",20
"figured out",20
"사람은 오늘",20
"넘어가면 안 돼요",20
"학교 애들",20
"선택의 여지가 없었다고",20
"때까지 기다리자",20
"느꼈지 그저 이",20
"찾고 계세요",20
"the class",20
"선택하겠어 지옥으로 가는게 무서워",20
"선택하겠어 지옥으로 가는게",20
"넘어갔네 최고 의원회의 결정입니까",20
"내 조카를 죽였어 내",20
"하나도 안 웃기거든",20
"나한텐 중요해",20
"있습니다 최근",20
"선택해야 하겠군",20
"같아요 나",20
"선호하시는건 알지만 이번에는 오스트리아산을",20
"무슨 일인 거야",20
"번 본 적이",20
"잘 됐죠",20
"위기를 느꼈지",20
"구할 수 없어요",20
"미래로 가는",20
"보여줄 게 있다",20
"만일을 위해",20
"사람은 처음 봤어요",20
"찾고 계십니까",20
"오리지방이야 메인 재료지 조나단",20
"와 너도",20
"짐승들일뿐이네 동물도 맡아줍니까",20
"너가 그 자리를",20
"대가없이는 말이야 나도 아주",20
"너가 나를",20
"악화되기 전에",20
"짐승들일뿐이네 동물도",20
"설명할 수 없다",20
"너가 그 자리를 가져다",20
"너가 나한테 왔고",20
"오면 나한테",20
"설명할 시간이 없어",20
"너가 나한테 왔고 나는",20
"있어요 세",20
"네 가방에",20
"네 가서",20
"구할 수 있다는",20
"미래를 위해 건배 합시다",20
"년만 있으면",20
"너가 맞다 너는",20
"너가 맞다",20
"섬사람 나는야 섬사람 나는야",20
"번도 안 해봤어",20
"너가 보고있는건",20
"있어 그렇다고",20
"손님이 왔습니다",20
"너가 신이라도 되는줄",20
"합니다 나도",20
"너가 신이라도",20
"너가 신이라도 되는줄 알어",20
"제가 봤던",20
"그 쇼는",20
"have a little",20
"어딜 간거야",20
"너가 이렇게 사는건",20
"기억나지 않는",20
"They want",20
"난 경찰이고",20
"네 권리를",20
"너가 치루는",20
"너가 치루는 대가만한 가치가",20
"가지고 있다고요",20
"너가 필요해",20
"너가 필요한 이유라고 나를",20
"네 그런 것",20
"너같은 놈도 화해라는걸",20
"안 가져갔어요",20
"the drug",20
"오리지방이야 메인 재료지",20
"세 가지만",20
"저것 때문에",20
"일하는 사람들이",20
"푸는 건",20
"않아서 그래요",20
"않아서 내가",20
"마음대로 하라고",20
"세 살 때",20
"내 생각엔 내",20
"세계 챔피언이",20
"만나기만 하면",20
"위로 올라와",20
"세계를 구할",20
"there any",20
"네 도움이 필요할",20
"세계에 있는 모두에게 말이지",20
"찾아 갈겁니다 그가 처음에",20
"걱정 말아라",20
"할 일을 했을 뿐이에요",20
"찾아 내",20
"있어 방법이",20
"위로가 될진",20
"안 자니",20
"kill a",20
"안 잠그고",20
"너는 가고 뉴욕 현대",20
"세명을 죽인 적도",20
"세명을 죽인 적도 있지",20
"어떻게 되는 건지",20
"거야 그리고 네가",20
"이고 윅 씨",20
"사람을 죽였어 눈에는",20
"나도 가지",20
"게 다가 아니야",20
"사람을 죽였어 눈에는 눈이야",20
"무슨 할 말",20
"말 들리나요",20
"없어야 합니다",20
"호텔 내에서는 살인금지",20
"남겨 둘",20
"세상에 없어요",20
"짓을 당한",20
"세상에 혼자",20
"꼭 할 얘기가",20
"일하러 왔어",20
"세상에서 내가",20
"세상에서 자네를 도울것인가야",20
"그래서 손을",20
"처음에는 그냥",20
"무슨일을 하셨는지 모르시고",20
"감정을 못",20
"best thing",20
"있어 안 돼요",20
"일하지 않고",20
"이고 윅",20
"짓을 보고",20
"무슨 소리 하는 거예요",20
"애들도 있어요",20
"결코 그렇게",20
"당신 방금",20
"않을 것이다 내",20
"타지 않고",20
"난 고양이",20
"사람을 화나게",20
"일 하면",20
"가지고 있어 하지만",20
"사람의 생명을",20
"않았어 아니",20
"보고 한",20
"가서 잠 좀",20
"섹스하는 거",20
"네 사진이",20
"너는 누구지",20
"잠깐 네",20
"국방부 장관이",20
"당신 사업은 이제 제",20
"한 시간 다른",20
"네 생각과",20
"있어 잘했어",20
"셋 넷 다섯 여섯",20
"들어온 것 같아",20
"너는 돈을",20
"이 상황을 벗어났다고",20
"몰랐어요 그냥",20
"거 하나만",20
"말 안 해줄 거야",20
"길 가세요",20
"잘 들어 이제",20
"짐을 싸야",20
"일할 수 없어",20
"매일 우리",20
"말 안 했습니다",20
"꼴이 되겠지 헬렌이",20
"있어 줄게요",20
"사람이 남에게 표식을",20
"꼴이 되겠지 헬렌이 그걸",20
"출구가 세군대 있고",20
"하나 드려도 될까요",20
"너는 못하겠군",20
"the food",20
"상태가 안 좋아서",20
"그녀의 가족은",20
"화물 열차",20
"건드리지 않는",20
"푸른 눈",20
"안타깝게도 그",20
"소리 지르지 마세요",20
"사람이 더 필요해",20
"난 골목에 서있었지 나는",20
"for me and",20
"찾아오는 게",20
"don''t have to do",20
"소리가 나와",20
"안 좋아하거든",20
"죽게될거야 이번역은",20
"다시 틀어봐",20
"모든 인간",20
"네 안에는",20
"소리도 내지",20
"근데 이제 와서",20
"회한 가득한",20
"했지 다른",20
"안 내놔",20
"찾아올 줄",20
"소리를 들으며",20
"거 하면 안",20
"너는 실제로",20
"소리를 지르는",20
"같이 죽을",20
"역할을 한",20
"꼽으신겁니다 그리고 그가",20
"일도 아니였어 다 고치면",20
"않으면 경찰을",20
"년을 거슬러",20
"come to the",20
"죽게될거야 이번역은 이 노선의",20
"술은 입에도",20
"너는 알아야",20
"걸 제",20
"거야 칼",20
"경험하게 될",20
"지킬 방법을",20
"저기 있는 게",20
"일도 없잖아요",20
"말 좀 들어줘",20
"그 여자처럼",20
"뭔지 모르고",20
"너는 언제나 그런사람이야",20
"몰랐어요 당신이",20
"계시군요 그거",20
"좀 해봤는데요",20
"소용 없는",20
"a time to",20
"저를 위해서요",20
"사람이 서로를",20
"느낄 것",20
"네 이름이 뭐니",20
"바빠서 그래",20
"네 이야기가",20
"느낄 때가",20
"사람이 아니거든",20
"준비 거의",20
"네 이쪽은",20
"중요한 것만",20
"하는 것보다 더",20
"작은일이 아니야",20
"않은 그",20
"다시 한번 해",20
"보고있는건 너의",20
"속 시원하게",20
"Because we",20
"안 좋은 거예요",20
"찾았지 앉게 나도 이러고싶지",20
"않은 이",20
"대체 어디 갔었어",20
"불과했는데 자네는 나에게",20
"네 잠시",20
"게 아니라는 거",20
"로마에 돌아오신걸",20
"제일 친한 친구",20
"말 함부로 하지",20
"아는줄은 모르겠는데 유리창도 금갔어",20
"고맙습니다 천만에요",20
"힘도 없는",20
"거야 나랑 같이",20
"안토니오씨 꽤 힘든 밤이였나",20
"내가 죽이는",20
"연관되어 있다는",20
"읽어 봤는데",20
"마음의 상처를",20
