Category,Type,Character1,Pinyin1,Frequency1,Character2,Pinyin2,Frequency2,Difficulty,Notes
Complex,Palatal-Retroflex: q-zh,去,qu4,270,祝,zhu4,6,Hard,Alternating: 去去祝去祝祝 (qu4-qu4-zhu4-qu4-zhu4-zhu4)
Complex,Dental-Retroflex: z-sh,自,zi4,175,室,shi4,101,Hard,Alternating: 自自室自室室 (zi4-zi4-shi4-zi4-shi4-shi4)
Complex,Palatal-Dental: q-s,去,qu4,270,肃,su4,5,Hard,Alternating: 去去肃去肃肃 (qu4-qu4-su4-qu4-su4-su4)
Complex,Dental-Retroflex: z-sh,子,zi,269,匙,shi,6,Hard,Alternating: 子子匙子匙匙 (zi-zi-shi-zi-shi-shi)
Complex,Palatal-Retroflex: q-sh,气,qi4,173,室,shi4,101,Hard,Alternating: 气气室气室室 (qi4-qi4-shi4-qi4-shi4-shi4)
Complex,Palatal-Retroflex: q-ch,去,qu4,270,搐,chu4,3,Hard,Alternating: 去去搐去搐搐 (qu4-qu4-chu4-qu4-chu4-chu4)
Complex,Palatal-Retroflex: q-zh,去,qu4,270,著,zhu4,3,Hard,Alternating: 去去著去著著 (qu4-qu4-zhu4-qu4-zhu4-zhu4)
Complex,Palatal-Retroflex: q-sh,去,qu4,270,恕,shu4,2,Hard,Alternating: 去去恕去恕恕 (qu4-qu4-shu4-qu4-shu4-shu4)
Complex,Palatal-Dental: q-s,去,qu4,270,塑,su4,1,Hard,Alternating: 去去塑去塑塑 (qu4-qu4-su4-qu4-su4-su4)
Complex,Palatal-Retroflex: q-ch,去,qu4,270,触,chu4,1,Hard,Alternating: 去去触去触触 (qu4-qu4-chu4-qu4-chu4-chu4)
Complex,Retroflex-Dental: zh-s,知,zhi1,205,思,si1,60,Hard,Alternating: 知知思知思思 (zhi1-zhi1-si1-zhi1-si1-si1)
Complex,Palatal-Retroflex: q-sh,起,qi3,231,始,shi3,28,Hard,Alternating: 起起始起始始 (qi3-qi3-shi3-qi3-shi3-shi3)
Complex,Palatal-Retroflex: q-zh,起,qi3,231,止,zhi3,26,Hard,Alternating: 起起止起止止 (qi3-qi3-zhi3-qi3-zhi3-zhi3)
Complex,Dental-Palatal: s-x,斯,si1,156,西,xi1,100,Hard,Alternating: 斯斯西斯西西 (si1-si1-xi1-si1-xi1-xi1)
Complex,Retroflex-Palatal: zh-x,知,zhi1,205,希,xi1,49,Hard,Alternating: 知知希知希希 (zhi1-zhi1-xi1-zhi1-xi1-xi1)
