Item,Frequency,IPA
이런 말을,8,ileon mal-eul
함께 있는,8,hamkke issneun
서 있었다,8,seo iss-eossda
할지 몰랐다,8,halji mollassda
있는 것,8,issneun geos
선 자는,8,seon janeun
고개를 숙여 인사했다,8,gogaeleul sug-yeo insahaessda
될 거야,8,doel geo-ya
수는 없었다,8,suneun eobs-eossda
말을 하지,8,mal-eul haji
쓰지 않았다,8,sseuji anh-assda
추 씨가,8,chu ssiga
그렇게 되면,8,geuleohge doemyeon
표정을 지었다,8,pyojeong-eul ji-eossda
앉아 있었다,8,anj-a iss-eossda
목소리로 말했다,8,mogsolilo malhaessda
하루 종일,8,halu jong-il
양진이 말했다,8,yangjin-i malhaessda
어떻게 해야,8,eo-tteohge hae-ya
없 었다,8,eobs eossda
두 분이,8,du bun-i
않기를 바랐다,8,anhgileul balassda
오늘 밤에,8,oneul bam-e
웃음을 지었다,8,us-eum-eul ji-eossda
보이지 않았다,8,bo-iji anh-assda
이 일을,8,i il-eul
경희가 고개를,8,gyeonghuiga gogaeleul
한수 는,7,hansu neun
깜짝 놀랐다,7,kkamjjag nollassda
세 번째,7,se beon-jjae
한 손을,7,han son-eul
고개 숙여,7,gogae sug-yeo
거 야,7,geo ya
남아 있었다,7,nam-a iss-eossda
돈을 벌,7,don-eul beol
수 있도록,7,su issdolog
많은 돈을,7,manh-eun don-eul
있을 때,7,iss-eul ttae
일을 하고,7,il-eul hago
있을 것,7,iss-eul geos
그렇 게,7,geuleoh ge
짙은 색,7,jit-eun saeg
먹고 나서,7,meoggo naseo
팔 수,7,pal su
두 개를,7,du gaeleul
않 았다,7,anh assda
하지 않을,7,haji anh-eul
양진이 고개를,7,yangjin-i gogaeleul
무릎을 꿇고,7,muleup-eul kkulhgo
어쩔 수,7,eo-jjeol su
몇 주,7,myeoch ju
무슨 말인지,7,museun mal-inji
한수가 말했다,7,hansuga malhaessda
더 많이,7,deo manh-i
할 거야,7,hal geo-ya
더 잘,7,deo jal
이 말을,7,i mal-eul
경희가 물었다,7,gyeonghuiga mul-eossda
빙긋이 웃었다,7,binggeus-i us-eossda
한 번,7,han beon
입고 있었다,6,ibgo iss-eossda
되지 않았다,6,doeji anh-assda
잘 알고,6,jal algo
적이 한,6,jeog-i han
선자 가,6,seonja ga
그런 일이,6,geuleon il-i
조금 더,6,jogeum deo
조 씨는,6,jo ssineun
큰 남자가,6,keun namjaga
선자는 고개를,6,seonjaneun gogaeleul
선자는 두,6,seonjaneun du
선자는 아무,6,seonjaneun amu
한 달,6,han dal
한 명이,6,han myeong-i
한수가 물었다,6,hansuga mul-eossda
손을 잡고,6,son-eul jabgo
있 어,6,iss eo
날 아침,6,nal achim
할지 알,6,halji al
있는 것을,6,issneun geos-eul
해야 할지 몰랐다,6,hae-ya halji mollassda
있다는 것을,6,issdaneun geos-eul
떠나기 전에,6,tteonagi jeon-e
고개를 들었다,6,gogaeleul deul-eossda
수 있을 것,6,su iss-eul geos
것이 분명했다,6,geos-i bunmyeonghaessda
수가 없었다,6,suga eobs-eossda
말도 안,6,maldo an
내일 아침에,6,nae-il achim-e
전 씨는,6,jeon ssineun
신경 쓰지 않았다,6,singyeong sseuji anh-assda
적이 한 번도,6,jeog-i han beondo
선자 씨가,6,seonja ssiga
고개를 숙였다,6,gogaeleul sug-yeossda
아 주,6,a ju
조심해야 해,6,josimhae-ya hae
큰 소리로,6,keun solilo
몇 년,6,myeoch nyeon
하고 있는,6,hago issneun
하고 싶지,6,hago sipji
선자는 아무 말도,6,seonjaneun amu maldo
안 된다고,6,an doendago
나지막한 목소리로,6,najimaghan mogsolilo
하지 않는,6,haji anhneun
그 남자가,6,geu namjaga
두 남자가,6,du namjaga
않을 거예요,6,anh-eul geo-ye-yo
모자수가 말했다,6,mojasuga malhaessda
그 사람,6,geu salam
다른 사람들이,6,daleun salamdeul-i
다음 날 아침,6,da-eum nal achim
오사카에 있는,6,osaka-e issneun
오늘 아침에,6,oneul achim-e
빙긋 웃었다,6,binggeus us-eossda
이삭은 자신이,6,isag-eun jasin-i
했을 때,6,haess-eul ttae
사 람이,6,sa lam-i
사실을 알고,6,sasil-eul algo
이야기를 하는,5,i-yagileul haneun
이해할 수,5,ihaehal su
새로 온,5,saelo on
있 는,5,iss neun
읽을 줄,5,ilg-eul jul
돌아갈 수,5,dol-agal su
선 자가,5,seon jaga
석탄 배달부의,5,seogtan baedalbu-ui
있는 동안,5,issneun dong-an
선 자의,5,seon ja-ui
될 거,5,doel geo
그런 말을,5,geuleon mal-eul
그 어느,5,geu eoneu
전당포 주인의,5,jeondangpo ju-in-ui
선자 씨,5,seonja ssi
될 거예요,5,doel geo-ye-yo
전쟁이 끝나면,5,jeonjaeng-i kkeutnamyeon
정씨 형제가,5,jeongssi hyeongjega
선자 씨는,5,seonja ssineun
조용히 말했다,5,jo-yonghi malhaessda
될 수도,5,doel sudo
고개 를,5,gogae leul
경희와 선자는,5,gyeonghui-wa seonjaneun
주 동안,5,ju dong-an
키 큰,5,ki keun
선자는 그,5,seonjaneun geu
하고 있었다,5,hago iss-eossda
하고 싶었다,5,hago sip-eossda
하지 않,5,haji anh
하지 않고,5,haji anhgo
선자는 이삭의,5,seonjaneun isag-ui
선자는 이,5,seonjaneun i
두 눈을,5,du nun-eul
한 명도,5,han myeongdo
한 번도 없었다,5,han beondo eobs-eossda
선자를 향해,5,seonjaleul hyanghae
한수가 고개를,5,hansuga gogaeleul
한 입,5,han ib
소리를 냈다,5,solileul naessda
두 사람에게,5,du salam-ege
두 개가,5,du gaega
것 같은데,5,geos gat-eunde
할 거,5,hal geo
할 수는,5,hal suneun
한수는 선자가,5,hansuneun seonjaga
있는 것 같았다,5,issneun geos gat-assda
호지 상은,5,hoji sang-eun
할 수도,5,hal sudo
수 없어서,5,su eobs-eoseo
활짝 웃었다,5,hwaljjag us-eossda
수 있다는,5,su issdaneun
등을 토닥거렸다,5,deung-eul todaggeolyeossda
남자가 말했다,5,namjaga malhaessda
수 있을지,5,su iss-eulji
수 있을까요,5,su iss-eulkka-yo
수밖에 없었다,5,subakk-e eobs-eossda
수 있을까,5,su iss-eulkka
숨을 깊게,5,sum-eul gipge
말을 멈췄다,5,mal-eul meomchwossda
싶은 마음이,5,sip-eun ma-eum-i
말을 해야,5,mal-eul hae-ya
노 아는,5,no aneun
년 넘게,5,nyeon neomge
것을 알았다,5,geos-eul al-assda
가죽 구두를,5,gajug guduleul
말할 수,5,malhal su
말을 해야 할지,5,mal-eul hae-ya halji
아무 잘못도,5,amu jalmosdo
아무도 없었다,5,amudo eobs-eossda
아주 어렸을,5,aju eolyeoss-eul
맛있는 김치,5,mas-issneun gimchi
누워 있는,5,nu-wo issneun
놓여 있었다,5,noh-yeo iss-eossda
안 되고,5,an doego
아주 잘,5,aju jal
안 된데이,5,an doende-i
안 될,5,an doel
앉아 있는,5,anj-a issneun
몇 달,5,myeoch dal
눈을 감았다,5,nun-eul gam-assda
눈을 감고,5,nun-eul gamgo
게 더,5,ge deo
않는 듯했다,5,anhneun deushaessda
모든 것이,5,modeun geos-i
모른 채,5,moleun chae
다른 사람,5,daleun salam
알게 될,5,alge doel
알게 됐다,5,alge dwaessda
어떻게 해야 할지,5,eo-tteohge hae-ya halji
못 할,5,mos hal
눈을 뜨고,5,nun-eul tteugo
거의 없었다,5,geo-ui eobs-eossda
어릴 때,5,eolil ttae
무슨 말을 해야 할지,5,museun mal-eul hae-ya halji
무슨 말을 해야,5,museun mal-eul hae-ya
열심히 일하는,5,yeolsimhi ilhaneun
여자와 함께,5,yeoja-wa hamkke
여러 번,5,yeoleo beon
달 동안,5,dal dong-an
옆에 있는,5,yeop-e issneun
요셉이 집에,5,yoseb-i jib-e
울 어머니가,5,ul eomeoniga
밥을 먹고,5,bab-eul meoggo
바닥에 앉아,5,badag-e anj-a
밑에서 일하는,5,mit-eseo ilhaneun
그 사람들이,5,geu salamdeul-i
이 남자가,5,i namjaga
벌 수,5,beol su
번도 없었다,5,beondo eobs-eossda
이 삭은,5,i sag-eun
더 큰,5,deo keun
이런 일이,5,ileon il-i
이삭은 선자의,5,isag-eun seonja-ui
이런 일을,5,ileon il-eul
이삭이 고개를,5,isag-i gogaeleul
이삭의 얼굴을,5,isag-ui eolgul-eul
이삭이 눈을,5,isag-i nun-eul
돈을 더,5,don-eul deo
돈 을,5,don eul
그 사람을,5,geu salam-eul
것 같아요,5,geos gat-a-yo
가지고 있었다,5,gajigo iss-eossda
가는 것을,5,ganeun geos-eul
